year,day,no3_leach,h2o_leach,precip,soil_ph,soil_temp,wfps,soil_nh3,nh3_vol
15,1,0,0,6,6.1,3.53,0.35,0,0
15,2,0,0,0,6.1,3.49,0.35,0,0
15,3,0,0,0,6.1,3.47,0.35,0,0
15,4,0,0,0,6.1,3.47,0.36,0,0
15,5,0,0,0,6.1,3.39,0.35,0,0
15,6,0,0,0,6.1,3.32,0.35,0,0
15,7,0,0,0,6.1,3.28,0.35,0,0
15,8,0,0,0,6.1,3.26,0.35,0,0
15,9,0,0,0,6.1,3.24,0.35,0,0
15,10,0,0,0,6.1,3.23,0.36,0,0
15,11,0,0,0,6.1,3.22,0.36,0,0
15,12,0,0,0,6.1,3.21,0.36,0,0
15,13,0,0,0,6.1,3.2,0.35,0,0
15,14,0,0,0,6.1,3.18,0.35,0,0
15,15,0,0,1,6.1,3.12,0.35,0,0
15,16,0,0,0,6.1,3.11,0.35,0,0
15,17,0,0,0,6.1,3.03,0.35,0,0
15,18,0,0,0,6.1,3.03,0.35,0,0
15,19,0,0,0,6.1,3.04,0.35,0,0
15,20,0.13,0.25,0,6.1,3.13,0.35,0,0
15,21,0,0,1,6.1,2.87,0.35,0,0
15,22,0,0,0,6.1,2.51,0.34,0,0
15,23,0,0,0,6.1,2.06,0.34,0,0
15,24,0,0,0,6.1,1.92,0.32,0,0
15,25,0,0,0,6.1,2.08,0.32,0,0
15,26,0,0,0,6.1,2.22,0.31,0,0
15,27,0,0,0,6.1,1.94,0.3,0,0
15,28,0,0,0,6.1,1.43,0.3,0,0
15,29,0,0,0,6.1,1.27,0.3,0,0
15,30,0,0,4,6.1,2.37,0.31,0,0
15,31,0,0,6,6.1,2.34,0.32,0,0
15,32,0,0,0,6.1,2.32,0.33,0,0
15,33,0,0,0,6.1,2.3,0.34,0,0
15,34,0,0,0,6.1,2.29,0.34,0,0
15,35,0,0,0,6.1,2.27,0.34,0,0
15,36,0,0,0,6.1,2.23,0.34,0,0
15,37,0,0,0,6.1,2.19,0.34,0,0
15,38,0,0,0,6.1,2.17,0.34,0,0
15,39,0,0,1,6.1,2.17,0.34,0,0
15,40,0,0,0,6.1,2.15,0.34,0,0
15,41,0,0,0,6.1,2.1,0.34,0,0
15,42,0,0,0,6.1,2.08,0.34,0,0
15,43,0,0,2,6.1,2.11,0.34,0,0
15,44,0,0,0,6.1,2.13,0.34,0,0
15,45,0,0,2,6.1,2.12,0.34,0,0
15,46,0,0,0,6.1,2.11,0.34,0,0
15,47,0,0,0,6.1,2.11,0.35,0,0
15,48,0,0,4,6.1,2.12,0.35,0,0
15,49,0,0,0,6.1,2.13,0.35,0,0
15,50,0,0,0,6.1,2.14,0.35,0,0
15,51,0,0,0,6.1,2.15,0.35,0,0
15,52,0,0,2,6.1,2.12,0.35,0,0
15,53,0,0,0,6.1,2.1,0.35,0,0
15,54,0,0,0,6.1,2.07,0.35,0,0
15,55,0,0,0,6.1,2.04,0.35,0,0
15,56,0,0,2,6.1,2,0.35,0,0
15,57,0,0,0,6.1,1.97,0.34,0,0
15,58,0,0,0,6.1,1.95,0.34,0,0
15,59,0,0,0,6.1,1.91,0.34,0,0
15,60,0,0,3,6.1,1.92,0.34,0,0
15,61,0,0,2,6.1,1.89,0.34,0,0
15,62,0,0,0,6.1,1.87,0.34,0,0
15,63,0,0,0,6.1,1.87,0.34,0,0
15,64,0,0,0,6.1,1.88,0.34,0,0
15,65,0,0,0,6.1,1.89,0.34,0,0
15,66,0,0,0,6.1,1.9,0.35,0,0
15,67,0,0,0,6.1,1.89,0.35,0,0
15,68,0,0,0,6.1,1.93,0.35,0,0
15,69,0,0,0,6.1,2.3,0.35,0,0
15,70,0.11,0.22,0,6.1,3.41,0.35,0,0
