year,day,no3_leach,h2o_leach,precip,soil_ph,soil_temp,wfps,soil_nh3,nh3_vol
14,1,0,0,0,6.1,5.21,0.31,0,0
14,2,0,0,0,6.1,5.15,0.31,0,0
14,3,0,0,0,6.1,5.1,0.31,0,0
14,4,0,0,0,6.1,5.03,0.31,0,0
14,5,0,0,0,6.1,4.96,0.31,0,0
14,6,0,0,0,6.1,4.9,0.31,0,0
14,7,0,0,0,6.1,4.84,0.31,0,0
14,8,0,0,0,6.1,4.79,0.31,0,0
14,9,0,0,0,6.1,4.75,0.31,0,0
14,10,0,0,0,6.1,4.72,0.33,0,0
14,11,0,0,2,6.1,4.67,0.32,0,0
14,12,0,0,0,6.1,4.59,0.31,0,0
14,13,0,0,0,6.1,4.43,0.29,0,0
14,14,0,0,0,6.1,4.34,0.29,0,0
14,15,0,0,0,6.1,4.28,0.29,0,0
14,16,0,0,0,6.1,4.29,0.3,0,0
14,17,0,0,0,6.1,4.27,0.32,0,0
14,18,0.09,0.16,0,6.1,4.29,0.32,0,0
14,19,0.09,0.16,0,6.1,4.53,0.32,0,0
14,20,0,0,0,6.1,4.3,0.31,0,0
14,21,0,0,2,6.1,4.06,0.29,0,0
14,22,0,0,0,6.1,3.91,0.29,0,0
14,23,0,0,0,6.1,3.81,0.28,0,0
14,24,0,0,0,6.1,3.65,0.28,0,0
14,25,0,0,0,6.1,3.5,0.28,0,0
14,26,0,0,0,6.1,3.39,0.27,0,0
14,27,0,0,0,6.1,3.39,0.27,0,0
14,28,0,0,10,6.1,3.63,0.3,0,0
14,29,0,0,0,6.1,3.61,0.31,0,0
14,30,0,0,0,6.1,3.59,0.31,0,0
14,31,0,0,0,6.1,3.53,0.29,0,0
14,32,0,0,0,6.1,3.48,0.29,0,0
14,33,0,0,0,6.1,3.47,0.29,0,0
14,34,0,0,2,6.1,3.45,0.3,0,0
14,35,0,0,0,6.1,3.43,0.31,0,0
14,36,0,0,0,6.1,3.41,0.31,0,0
14,37,0,0,0,6.1,3.39,0.32,0,0
14,38,0,0,0,6.1,3.38,0.32,0,0
14,39,0,0,0,6.1,3.34,0.31,0,0
14,40,0,0,0,6.1,3.32,0.32,0,0
14,41,0,0,5,6.1,3.34,0.34,0,0
14,42,0,0,6,6.1,3.29,0.34,0,0
14,43,0,0,0,6.1,3.25,0.32,0,0
14,44,0,0,0,6.1,3.23,0.33,0,0
14,45,0,0,0,6.1,3.22,0.34,0,0
14,46,0,0,0,6.1,3.17,0.32,0,0
14,47,0,0,0,6.1,3.12,0.32,0,0
14,48,0,0,0,6.1,3.12,0.33,0,0
14,49,0,0,0,6.1,3.13,0.34,0,0
14,50,0,0,0,6.1,2.97,0.3,0,0
14,51,0,0,0,6.1,2.66,0.28,0,0
14,52,0,0,0,6.1,2.44,0.27,0,0
14,53,0,0,5,6.1,2.79,0.28,0,0
14,54,0,0,0,6.1,2.77,0.28,0,0
14,55,0,0,0,6.1,2.76,0.28,0,0
14,56,0,0,0,6.1,2.74,0.29,0,0
14,57,0,0,0,6.1,2.72,0.29,0,0
14,58,0,0,0,6.1,2.7,0.3,0,0
14,59,0,0,0,6.1,2.64,0.3,0,0
14,60,0,0,0,6.1,2.48,0.28,0,0
14,61,0,0,0,6.1,2.31,0.27,0,0
14,62,0,0,0,6.1,2.26,0.27,0,0
14,63,0,0,0,6.1,2.32,0.27,0,0
14,64,0,0,0,6.1,2.28,0.27,0,0
14,65,0,0,0,6.1,2.16,0.27,0,0
14,66,0,0,0,6.1,2.12,0.25,0,0
14,67,0,0,0,6.1,2.3,0.26,0,0
14,68,0.09,0.17,10,6.1,2.79,0.37,0,0
14,69,0,0,20,6.1,2.72,0.37,0,0
14,70,0,0,0,6.1,2.68,0.37,0,0
14,71,0,0,0,6.1,2.65,0.37,0,0
14,72,0,0,0,6.1,2.62,0.37,0,0
14,73,0,0,0,6.1,2.61,0.37,0,0
14,74,0,0,0,6.1,2.6,0.37,0,0
14,75,0,0,0,6.1,2.58,0.37,0,0
14,76,0,0,0,6.1,2.55,0.37,0,0
14,77,0,0,0,6.1,2.53,0.37,0,0
14,78,0,0,0,6.1,2.5,0.35,0,0
