year,day,no3_leach,n2o_flux,h2o_leach,precip,very_labile_litterC,labile_litterC,resistant_litterC,microbialC,labile_humadsC,resistant_humadsC,humusC,inertC,frozen_doc,wtc_avail,ch4C,soil_ph,soil_temp,wfps,soil_nh3,nh3_vol
 16,  1, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,57.7291,6245.9243,50.8610,1066.2217,5599.4897,72568.7891, 0.0000, 0.0000,116.7656, 0.0000, 6.7000, 5.5914, 0.5010, 0.0000, 0.0025
 16,  2, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,57.5937,6245.1353,51.2893,1065.8586,5599.4209,72568.9297, 0.0000, 0.0000,114.8071, 0.0000, 6.7000, 5.5603, 0.5116, 0.0000, 0.0024
 16,  3, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,57.4629,6244.3608,51.7091,1065.5006,5599.3530,72569.0313, 0.0000, 0.0000,112.9590, 0.0000, 6.7000, 5.5042, 0.5116, 0.0000, 0.0024
 16,  4, 0.0000, 0.0000, 0.0000, 2.0000, 0.0000,57.3363,6243.6279,52.1090,1065.1530,5599.2881,72569.1484, 0.0000, 0.0000,111.3092, 0.0000, 6.7000, 5.4346, 0.5116, 0.0000, 0.0023
 16,  5, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,57.2144,6242.9971,52.4619,1064.8278,5599.2271,72569.2500, 0.0000, 0.0000,110.0193, 0.0000, 6.7000, 5.3052, 0.4875, 0.0000, 0.0023
 16,  6, 0.0000, 0.0000, 0.0000, 7.0000, 0.0000,57.0971,6242.3765,52.8091,1064.5066,5599.1646,72569.3594, 0.0000, 0.0000,108.7539, 0.0000, 6.7000, 5.3172, 0.4931, 0.0000, 0.0022
 16,  7, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,56.9832,6241.7573,53.1539,1064.1877,5599.1050,72569.4531, 0.0000, 0.0000,107.5220, 0.0000, 6.7000, 5.2698, 0.5011, 0.0000, 0.0022
 16,  8, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,56.8717,6241.1055,53.5102,1063.8654,5599.0430,72569.5547, 0.0000, 0.0000,106.3023, 0.0000, 6.7000, 5.2341, 0.5116, 0.0000, 0.0022
 16,  9, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,56.7622,6240.4404,53.8712,1063.5432,5598.9824,72569.6563, 0.0000, 0.0000,105.0697, 0.0000, 6.7000, 5.2010, 0.5116, 0.0000, 0.0021
 16, 10, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,56.6548,6239.7886,54.2261,1063.2251,5598.9219,72569.7656, 0.0000, 0.0000,103.8962, 0.0000, 6.7000, 5.1513, 0.5116, 0.0000, 0.0021
 16, 11, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,56.5488,6239.1230,54.5859,1062.9065,5598.8613,72569.8750, 0.0000, 0.0000,102.7132, 0.0000, 6.7000, 5.1265, 0.5116, 0.0000, 0.0020
 16, 12, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,56.4445,6238.4712,54.9380,1062.5928,5598.8022,72569.9688, 0.0000, 0.0000,101.5991, 0.0000, 6.7000, 5.0753, 0.5116, 0.0000, 0.0020
 16, 13, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,56.3423,6237.8667,55.2692,1062.2900,5598.7437,72570.0703, 0.0000, 0.0000,100.6453, 0.0000, 6.7000, 5.0078, 0.5116, 0.0000, 0.0020
 16, 14, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,56.2419,6237.2627,55.5986,1061.9891,5598.6875,72570.1719, 0.0000, 0.0000,99.7251, 0.0000, 6.7000, 4.9799, 0.5116, 0.0000, 0.0019
 16, 15, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,56.1431,6236.6299,55.9401,1061.6841,5598.6294,72570.2656, 0.0000, 0.0000,98.7376, 0.0000, 6.7000, 4.9665, 0.5116, 0.0000, 0.0019
