year,day,no3_leach,h2o_leach,precip,soil_ph,soil_temp,wfps,soil_nh3,nh3_vol
15,1,0,0,4,7.9,5.18,0.68,0,0.09
15,2,0,0,0,7.9,5.1,0.68,0,0.09
15,3,0,0,0,7.9,5.04,0.68,0,0.09
15,4,0,0,0,7.9,5.08,0.68,0,0.08
15,5,0,0,0,7.9,4.91,0.68,0,0.08
15,6,0,0,0,7.9,4.73,0.67,0,0.08
15,7,0,0,0,7.9,4.62,0.67,0,0.08
15,8,0,0,0,7.9,4.59,0.67,0,0.07
15,9,0,0,0,7.9,4.52,0.65,0,0.07
15,10,0,0,0,7.9,4.53,0.65,0,0.07
15,11,0,0,0,7.9,4.52,0.66,0,0.07
15,12,0.01,0.3,0,7.9,4.85,0.68,0,0.06
15,13,0.01,0.31,0,7.9,5.09,0.68,0,0.07
15,14,0.01,0.31,0,7.9,5.13,0.68,0,0.07
15,15,0,0,0,7.9,4.84,0.68,0,0.07
15,16,0.01,0.31,0,7.9,4.85,0.68,0,0.07
15,17,0,0,5,7.9,4.77,0.68,0,0.07
15,18,0,0,0,7.9,4.73,0.68,0,0.07
15,19,0,0,0,7.9,4.71,0.68,0,0.07
15,20,0,0,0,7.9,4.73,0.68,0,0.07
15,21,0,0,0,7.9,4.56,0.67,0,0.07
15,22,0,0,0,7.9,4.28,0.66,0,0.06
15,23,0,0,0,7.9,3.84,0.64,0,0.06
15,24,0,0,0,7.9,3.73,0.62,0,0.06
15,25,0,0,0,7.9,4.11,0.63,0,0.06
15,26,0.01,0.29,0,7.9,4.59,0.67,0,0.06
15,27,0,0,0,7.9,4.35,0.67,0,0.06
15,28,0,0,0,7.9,3.72,0.64,0,0.06
15,29,0,0,0,7.9,3.53,0.62,0,0.06
15,30,0,0,2,7.9,4.14,0.67,0,0.06
15,31,0,0,0,7.9,4,0.66,0,0.05
15,32,0,0,0,7.9,3.8,0.64,0,0.05
15,33,0,0,0,7.9,3.48,0.62,0,0.05
15,34,0,0,0,7.9,3.33,0.62,0,0.05
15,35,0,0,0,7.9,3.19,0.6,0,0.05
15,36,0,0,0,7.9,2.83,0.6,0,0.05
15,37,0,0,0,7.9,2.44,0.57,0,0.04
15,38,0,0,0,7.9,2.15,0.57,0,0.04
15,39,0,0,0,7.9,2.11,0.55,0,0.03
15,40,0,0,0,7.9,2.02,0.55,0,0.03
15,41,0,0,0,7.9,1.74,0.53,0,0.03
15,42,0,0,0,7.9,1.57,0.53,0,0.02
15,43,0,0,1,7.9,2.67,0.53,0,0.02
15,44,0,0,0,7.9,2.97,0.53,0,0.02
15,45,0,0,0,7.9,2.92,0.53,0,0.02
15,46,0,0,0,7.9,2.82,0.54,0,0.02
15,47,0,0,0,7.9,3.16,0.65,0,0.02
15,48,0,0,4,7.9,3.12,0.67,0,0.02
