"cokey"	"ave_no3_leach"	"ave_nh3_vol"	"bulk_dens"	"ph"	"wthirdbar"	"wfifteenbar"	"awc"	"clay_frac"	"sand_frac"	"ksat"	"om"
"11856181"	"139.70"	"2.26"	"1.45"	"5.80"	"17.50"	"8.00"	"0.13"	"9.00"	"67.40"	"28.00"	"2.00"
"11856184"	"156.33"	"2.65"	"1.45"	"6.20"	"17.50"	"8.00"	"0.13"	"9.00"	"67.40"	"28.00"	"2.00"
"11856234"	"165.60"	"2.32"	"1.53"	"5.60"	"16.40"	"7.40"	"0.12"	"9.00"	"67.00"	"28.00"	"1.50"
"11856235"	"162.94"	"2.33"	"1.53"	"5.60"	"16.40"	"7.40"	"0.12"	"9.00"	"67.00"	"28.00"	"1.50"
"11856270"	"135.70"	"3.58"	"1.43"	"6.80"	"18.30"	"8.50"	"0.16"	"9.00"	"69.00"	"28.00"	"2.00"
"11856299"	"134.05"	"3.56"	"1.43"	"6.80"	"18.30"	"8.50"	"0.16"	"9.00"	"69.00"	"28.00"	"2.00"
"11856304"	"157.26"	"2.81"	"1.57"	"6.10"	"14.40"	"5.10"	"0.11"	"5.00"	"85.00"	"92.00"	"1.00"
"11856411"	"149.36"	"2.72"	"1.57"	"6.10"	"14.40"	"5.10"	"0.11"	"5.00"	"85.00"	"92.00"	"1.00"
"11856412"	"153.62"	"2.79"	"1.57"	"6.10"	"14.40"	"5.10"	"0.11"	"5.00"	"85.00"	"92.00"	"1.00"
"11856413"	"158.46"	"2.82"	"1.57"	"6.10"	"14.40"	"5.10"	"0.11"	"5.00"	"85.00"	"92.00"	"1.00"
"11856414"	"140.47"	"2.51"	"1.53"	"6.20"	"15.30"	"6.10"	"0.11"	"6.00"	"84.00"	"92.00"	"1.50"
"11856416"	"143.22"	"2.52"	"1.53"	"6.20"	"15.30"	"6.10"	"0.11"	"6.00"	"84.00"	"92.00"	"1.50"
